country_code,year,quarter,hdd_sum,cdd_sum,temp_mean_q
DEU,2013,3,141.0,145.70000000000002,18.05108695652174
DEU,2013,4,1004.7,0.0,7.0793478260869565
DEU,2014,1,1242.4,0.0,4.195555555555556
DEU,2014,2,393.4,38.3,14.0978021978022
DEU,2014,3,106.69999999999999,150.9,18.480434782608697
DEU,2014,4,952.8,0.0,7.643478260869566
DEU,2015,1,1323.2,0.0,3.2977777777777777
DEU,2015,2,475.4,18.599999999999998,12.98021978021978
DEU,2015,3,116.0,232.1,19.26195652173913
DEU,2015,4,934.6,0.0,7.841304347826087
DEU,2016,1,1402.9,0.0,2.5835164835164837
DEU,2016,2,376.2,62.400000000000006,14.551648351648351
DEU,2016,3,49.6,193.9,19.568478260869565
DEU,2016,4,1169.1,0.0,5.2923913043478255
DEU,2017,1,1412.4,0.0,2.3066666666666666
DEU,2017,2,461.9,46.1,13.430769230769231
DEU,2017,3,161.5,74.3,17.05217391304348
DEU,2017,4,1016.0,0.0,6.956521739130435
DEU,2018,1,1528.1,0.0,1.021111111111111
DEU,2018,2,236.5,103.60000000000001,16.53956043956044
DEU,2018,3,83.7,267.59999999999997,19.99891304347826
DEU,2018,4,1010.7,0.0,7.014130434782608
DEU,2019,1,1259.6,0.0,4.004444444444444
DEU,2019,2,388.2,153.6,15.421978021978022
DEU,2019,3,104.8,195.0,18.980434782608697
DEU,2019,4,987.5,0.8000000000000007,7.2749999999999995
DEU,2020,1,1185.4,0.0,4.973626373626374
DEU,2020,2,420.7,52.099999999999994,13.94945054945055
DEU,2020,3,104.30000000000001,191.2,18.944565217391304
DEU,2020,4,994.4,0.0,7.191304347826088
DEU,2021,1,1452.3,0.0,1.8633333333333333
DEU,2021,2,540.6,101.0,13.16923076923077
DEU,2021,3,101.1,99.9,17.98695652173913
DEU,2021,4,1104.0,0.0,6.0
DEU,2022,1,1253.6,0.0,4.071111111111111
DEU,2022,2,399.6,87.1,14.565934065934066
DEU,2022,3,146.4,203.3,18.618478260869566
DEU,2022,4,1047.8,0.0,6.610869565217392
DEU,2023,1,1246.5,0.0,4.15
DEU,2023,2,457.8,62.0,13.650549450549452
DEU,2023,3,47.3,189.2,19.542391304347827
DEU,2023,4,1005.8,0.7999999999999972,7.076086956521739
DEU,2024,1,1175.8,0.0,5.079120879120879
DEU,2024,2,303.09999999999997,53.900000000000006,15.26153846153846
DEU,2024,3,75.7,239.2,19.777173913043477
