iso3,year,region,luminosity_mean,luminosity_sum
RUS,2013,Novosibirsk,0.2187712201563886,315087.0
RUS,2013,Omsk,0.1597335135901268,185108.140625
RUS,2013,Orel,0.2012823862450288,37604.984375
RUS,2013,Orenburg,0.6861132628084622,645270.3125
RUS,2013,Penza,0.4058512718608142,134644.40625
RUS,2013,Perm',0.2774184107068115,404970.125
RUS,2013,Primor'ye,0.0938312189328083,100329.5
RUS,2013,Pskov,0.0973837409039208,46063.09375
RUS,2013,Rostov,0.2289778157827991,159794.6875
RUS,2013,Ryazan',0.3419305919633739,107808.6640625
RUS,2013,Sakha,0.0099912257322724,352645.6875
RUS,2013,Sakhalin,0.3980985720162046,242918.15625
RUS,2013,Samara,1.1948380328604842,495017.8125
RUS,2013,Saratov,0.2691674368698941,202696.0
RUS,2013,Smolensk,0.2947243464019503,117511.3125
RUS,2013,Stavropol',0.2231593721414921,98561.4609375
RUS,2013,Sverdlovsk,0.3087912433294884,532994.375
RUS,2013,Tambov,0.2062619934162504,53971.95703125
RUS,2013,Tatarstan,1.46629255830087,824305.6875
RUS,2013,Tomsk,0.2174944383782698,607320.8125
RUS,2013,Tula,0.7461385297669846,149506.015625
RUS,2013,Tuva,0.0075853041755928,9567.162109375
RUS,2013,Tver',0.263598135866021,189977.8125
RUS,2013,Tyumen',0.2684704378323505,368656.625
RUS,2013,Udmurt,0.4192093228836075,149261.15625
RUS,2013,Ul'yanovsk,0.318567480583545,92412.921875
RUS,2013,Vladimir,0.6451648772052054,155571.1875
RUS,2013,Volgograd,0.1567751654853722,126698.3203125
RUS,2013,Vologda,0.1200058715690351,162766.84375
RUS,2013,Voronezh,0.3434908259859023,130938.359375
RUS,2013,Yamal-Nenets,0.2654553573100663,2168727.0
RUS,2013,Yaroslavl',0.6828182159131021,212786.640625
RUS,2013,Yevrey,0.0501376428354856,12629.4716796875
RUS,2013,Zabaykal'ye,0.0214109629295985,70875.46875
RUS,2014,Adygey,0.6090393385427556,32043.38671875
RUS,2014,Altay,0.0773543184957606,99062.5703125
RUS,2014,Amur,0.0252414043168389,71732.234375
RUS,2014,Arkhangel'sk,0.033112972083077,164261.765625
RUS,2014,Astrakhan',0.2847040959247609,90149.84375
RUS,2014,Bashkortostan,0.3483287396046995,399418.8125
RUS,2014,Belgorod,0.5855855361575019,121740.890625
RUS,2014,Bryansk,0.1594276580541493,42043.46484375
RUS,2014,Buryat,0.0174457510851992,48364.890625
RUS,2014,Chechnya,1.1842577184260303,114575.75
RUS,2014,Chelyabinsk,0.6428349218444099,456408.9375
RUS,2014,Chukot,0.0019915397776236,16630.181640625
RUS,2014,Chuvash,0.4720721175201209,71206.4140625
RUS,2014,City of St. Petersburg,27.80807232421565,525600.375
RUS,2014,Dagestan,0.3321408427695155,104451.984375
RUS,2014,Gorno-Altay,0.0131135894646238,8948.818359375
RUS,2014,Ingush,1.2273147529634667,25263.046875
RUS,2014,Irkutsk,0.1744320548309511,1150449.0
RUS,2014,Ivanovo,0.2959713141415219,59657.75390625
RUS,2014,Kabardin-Balkar,0.2876183526295133,21619.12109375
RUS,2014,Kaliningrad,0.562754212332864,61153.9375
RUS,2014,Kalmyk,0.0134603378288792,6763.8466796875
RUS,2014,Kaluga,0.7232372051764175,166934.71875
RUS,2014,Kamchatka,0.0066218100337811,27226.287109375
RUS,2014,Karachay-Cherkess,0.2407050235223704,23376.068359375
RUS,2014,Karelia,0.0457052468186744,82493.765625
RUS,2014,Kemerovo,0.5139090607214942,395417.5625
RUS,2014,Khabarovsk,0.0157984983878844,99640.0234375
RUS,2014,Khakass,0.0527737575356288,24528.8203125
RUS,2014,Khanty-Mansiy,0.479349906455673,2516291.25
RUS,2014,Kirov,0.0647059385602962,69093.1953125
RUS,2014,Komi,0.1069758811768233,474098.8125
RUS,2014,Kostroma,0.0922760983643883,49240.6484375
RUS,2014,Krasnodar,0.7138664928991417,361313.53125
RUS,2014,Krasnoyarsk,0.0799707717647608,2261096.0
RUS,2014,Kurgan,0.0995210436988639,59480.7421875
RUS,2014,Kursk,0.192504652333653,44759.44921875
