country_code,year,quarter,cu_pct,ip_index,electricity_twh,inflation_cpi_pct,gdp_per_capita_usd,unemployment_pct,trade_pct_gdp,m2_pct_gdp
USA,2018,4,78.9003,104.0491,4201.55,2.44258329692817,62499.8744390068,3.896,27.6103792720958,89.3303888953359
USA,2019,1,77.9736,103.0383,4158.38,1.81221007526021,64746.4506778863,3.669,26.4537594940475,92.9869795054421
USA,2019,2,77.36947,102.36783333333334,4158.38,1.81221007526021,64746.4506778863,3.669,26.4537594940475,92.9869795054421
USA,2019,3,77.24014,102.2905,4158.38,1.81221007526021,64746.4506778863,3.669,26.4537594940475,92.9869795054421
USA,2019,4,76.90276,101.68853333333334,4158.38,1.81221007526021,64746.4506778863,3.669,26.4537594940475,92.9869795054421
USA,2020,1,75.99907,99.93836666666668,4043.18,1.23358439630629,63515.9491807833,8.055,23.4015629969394,110.638764693403
USA,2020,2,66.09673,87.3719,4043.18,1.23358439630629,63515.9491807833,8.055,23.4015629969394,110.638764693403
USA,2020,3,73.93983,95.64913333333334,4043.18,1.23358439630629,63515.9491807833,8.055,23.4015629969394,110.638764693403
USA,2020,4,75.8124,97.39466666666665,4043.18,1.23358439630629,63515.9491807833,8.055,23.4015629969394,110.638764693403
USA,2021,1,75.9434,97.62756666666667,4153.62,4.69785886363742,70205.050916026,5.349,25.6095576621932,116.786350489931
USA,2021,2,77.26047,99.26356666666668,4153.62,4.69785886363742,70205.050916026,5.349,25.6095576621932,116.786350489931
USA,2021,3,77.7475,99.71783333333333,4153.62,4.69785886363742,70205.050916026,5.349,25.6095576621932,116.786350489931
USA,2021,4,78.36353,100.54136666666666,4153.62,4.69785886363742,70205.050916026,5.349,25.6095576621932,116.786350489931
USA,2022,1,78.1567,100.79423333333334,4286.89,8.00279982052121,76657.2488844403,3.65,27.3139397355363,105.446224272594
USA,2022,2,78.09924,101.26383333333332,4286.89,8.00279982052121,76657.2488844403,3.65,27.3139397355363,105.446224272594
USA,2022,3,77.67347,101.20369999999998,4286.89,8.00279982052121,76657.2488844403,3.65,27.3139397355363,105.446224272594
USA,2022,4,76.9806,100.65816666666667,4286.89,8.00279982052121,76657.2488844403,3.65,27.3139397355363,105.446224272594
USA,2023,1,76.97346,100.72236666666667,4253.91,4.11633838374488,81032.262117545,3.638,25.2903297883366,100.684411105603
USA,2023,2,76.92963,100.76706666666666,4253.91,4.11633838374488,81032.262117545,3.638,25.2903297883366,100.684411105603
USA,2023,3,76.6845,100.92236666666668,4253.91,4.11633838374488,81032.262117545,3.638,25.2903297883366,100.684411105603
USA,2023,4,76.41497,100.6453,4253.91,4.11633838374488,81032.262117545,3.638,25.2903297883366,100.684411105603
USA,2024,1,75.92267,99.98826666666666,4391.02,2.94952520485207,84534.0407841548,4.022,25.3786342507088,100.72434885096
USA,2024,2,76.0011,100.66680000000001,4391.02,2.94952520485207,84534.0407841548,4.022,25.3786342507088,100.72434885096
USA,2024,3,75.39457,100.07166666666667,4391.02,2.94952520485207,84534.0407841548,4.022,25.3786342507088,100.72434885096
USA,2024,4,74.77697,99.69643333333333,4391.02,2.94952520485207,84534.0407841548,4.022,25.3786342507088,100.72434885096
DEU,2010,1,74.5,86.50128666666667,624.21,1.1038103778926,42396.9665976293,7.043,73.8852351200263,
DEU,2010,2,79.4,90.91494666666667,624.21,1.1038103778926,42396.9665976293,7.043,73.8852351200263,
DEU,2010,3,82.0,92.39690333333334,624.21,1.1038103778926,42396.9665976293,7.043,73.8852351200263,
DEU,2010,4,83.5,95.81185666666666,624.21,1.1038103778926,42396.9665976293,7.043,73.8852351200263,
DEU,2011,1,84.7,96.93943333333334,605.0,2.07517283735874,47630.9761883572,5.967,78.433002901442,
DEU,2011,2,85.8,97.84149333333333,605.0,2.07517283735874,47630.9761883572,5.967,78.433002901442,
DEU,2011,3,85.9,99.19458333333334,605.0,2.07517283735874,47630.9761883572,5.967,78.433002901442,
DEU,2011,4,85.6,98.26031,605.0,2.07517283735874,47630.9761883572,5.967,78.433002901442,
DEU,2012,1,84.8,98.22809333333333,619.81,2.00848884782956,44718.0159214069,5.372,79.3316495670315,
DEU,2012,2,84.4,98.16366,619.81,2.00848884782956,44718.0159214069,5.372,79.3316495670315,
DEU,2012,3,83.5,98.48582333333333,619.81,2.00848884782956,44718.0159214069,5.372,79.3316495670315,
DEU,2012,4,82.5,96.06959,619.81,2.00848884782956,44718.0159214069,5.372,79.3316495670315,
DEU,2013,1,82.6,96.32732,629.69,1.50472330251876,47206.8353514242,5.316,77.5860288576931,
DEU,2013,2,82.5,97.68041,629.69,1.50472330251876,47206.8353514242,5.316,77.5860288576931,
DEU,2013,3,83.1,98.22809,629.69,1.50472330251876,47206.8353514242,5.316,77.5860288576931,
DEU,2013,4,83.8,99.16237333333333,629.69,1.50472330251876,47206.8353514242,5.316,77.5860288576931,
DEU,2014,1,84.0,99.25902,618.75,0.906794000434245,48959.5991203133,4.979,76.8483516336234,
DEU,2014,2,84.4,98.77577000000001,618.75,0.906794000434245,48959.5991203133,4.979,76.8483516336234,
DEU,2014,3,84.3,98.74356666666665,618.75,0.906794000434245,48959.5991203133,4.979,76.8483516336234,
DEU,2014,4,84.2,99.93556333333333,618.75,0.906794000434245,48959.5991203133,4.979,76.8483516336234,
DEU,2015,1,84.0,99.29123666666665,639.17,0.514426137125456,41929.7549110722,4.612,77.7565815686922,
DEU,2015,2,84.3,100.51546666666667,639.17,0.514426137125456,41929.7549110722,4.612,77.7565815686922,
DEU,2015,3,84.3,100.35437999999999,639.17,0.514426137125456,41929.7549110722,4.612,77.7565815686922,
DEU,2015,4,84.1,99.83893,639.17,0.514426137125456,41929.7549110722,4.612,77.7565815686922,
DEU,2016,1,84.3,100.9021,641.52,0.491747008445174,42948.9381932694,4.104,76.0059902166055,
DEU,2016,2,84.3,100.51545666666668,641.52,0.491747008445174,42948.9381932694,4.104,76.0059902166055,
DEU,2016,3,84.6,100.86985666666665,641.52,0.491747008445174,42948.9381932694,4.104,76.0059902166055,
DEU,2016,4,85.2,100.96652333333333,641.52,0.491747008445174,42948.9381932694,4.104,76.0059902166055,
DEU,2017,1,85.4,101.44976666666666,644.46,1.50949485109628,45553.9341495339,3.781,77.4548394742448,
DEU,2017,2,86.3,103.44713333333334,644.46,1.50949485109628,45553.9341495339,3.781,77.4548394742448,
DEU,2017,3,87.0,105.15463333333334,644.46,1.50949485109628,45553.9341495339,3.781,77.4548394742448,
DEU,2017,4,87.5,105.89563333333332,644.46,1.50949485109628,45553.9341495339,3.781,77.4548394742448,
DEU,2018,1,87.9,105.31569999999999,632.28,1.73216879766941,48916.1686612154,3.384,79.1252260463654,
DEU,2018,2,87.8,106.08890000000001,632.28,1.73216879766941,48916.1686612154,3.384,79.1252260463654,
DEU,2018,3,87.7,105.12240000000001,632.28,1.73216879766941,48916.1686612154,3.384,79.1252260463654,
DEU,2018,4,87.1,103.57603333333333,632.28,1.73216879766941,48916.1686612154,3.384,79.1252260463654,
DEU,2019,1,86.0,103.38273333333332,600.09,1.44565976888253,47656.199739747,3.163,79.0732427175683,
DEU,2019,2,85.1,102.28739999999999,600.09,1.44565976888253,47656.199739747,3.163,79.0732427175683,
DEU,2019,3,84.0,101.12756666666667,600.09,1.44565976888253,47656.199739747,3.163,79.0732427175683,
DEU,2019,4,83.2,99.45232666666668,600.09,1.44565976888253,47656.199739747,3.163,79.0732427175683,
DEU,2020,1,83.1,97.93813666666667,566.75,0.144877925813981,47394.8734504469,3.881,72.9335327120137,
DEU,2020,2,69.7,80.15464,566.75,0.144877925813981,47394.8734504469,3.881,72.9335327120137,
DEU,2020,3,74.8,91.65593000000001,566.75,0.144877925813981,47394.8734504469,3.881,72.9335327120137,
DEU,2020,4,81.6,97.48711333333334,566.75,0.144877925813981,47394.8734504469,3.881,72.9335327120137,
DEU,2021,1,82.1,97.74484666666666,578.83,3.06666666666673,52349.2459994422,3.594,79.9195348609851,
DEU,2021,2,85.0,96.64948666666668,578.83,3.06666666666673,52349.2459994422,3.594,79.9195348609851,
